,Personal income,Compensation of employees,Wages and salaries,Private industries,Government,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds1,Employer contributions for government social insurance,Proprietors' income with inventory valuation and capital consumption adjustments,Farm,Nonfarm,Rental income of persons with capital consumption adjustment,Personal income receipts on assets,Personal interest income,Personal dividend income,Personal current transfer receipts,Government social benefits to persons,Social security2,Medicare3,Medicaid,Unemployment insurance,Veterans' benefits,Other,"Other current transfer receipts, from business (net)","Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,Personal consumption expenditures,Personal interest payments4,Personal current transfer payments,To government,To the rest of the world (net),Equals: Personal saving,Personal saving as a percentage of disposable personal income,Addenda:,"Personal income excluding current transfer receipts, billions of chained (2012) dollars5",Disposable personal income:,"Total, billions of chained (2012) dollars5",Per capita:,Current dollars,Chained (2012) dollars,"Population (midperiod, thousands)",Percent change from preceding period:,"Disposable personal income, current dollars","Disposable personal income, chained (2012) dollars"
,5807.9,3913.4,3152.7,2551.6,601.1,760.7,511.4,249.3,450.2,41.8,408.4,109.0,1015.2,790.3,224.9,818.1,805.3,308.8,156.9,136.6,28.0,19.7,155.4,12.8,498.0,673.7,5134.3,4783.9,4621.2,114.1,48.6,30.1,18.5,350.4,6.8,,7173.0,,7380.7,,19578,28144,262250,,4.1,2.7
,5912.7,3991.5,3223.3,2616.2,607.2,768.2,515.4,252.8,454.1,36.7,417.5,113.5,1035.9,802.9,233.0,822.9,810.1,311.8,162.2,137.1,24.4,19.6,155.0,12.8,505.1,697.8,5214.9,4850.1,4683.2,117.4,49.6,30.7,18.9,364.8,7.0,,7276.3,,7455.0,,19827,28344,263020,,6.4,4.1
,5978.4,4031.8,3258.7,2646.2,612.5,773.0,517.6,255.5,456.8,32.1,424.6,116.3,1057.7,818.5,239.2,826.9,813.6,313.0,167.1,136.2,22.1,19.8,155.6,13.2,511.0,695.4,5283.0,4925.8,4752.8,122.7,50.3,31.2,19.1,357.2,6.8,,7311.8,,7498.5,,20021,28417,263870,,5.3,2.4
,6089.4,4088.1,3311.6,2694.4,617.2,776.5,517.4,259.0,465.5,28.1,437.4,115.9,1090.4,846.8,243.6,848.0,833.8,315.1,171.6,147.8,21.3,19.8,158.1,14.2,518.5,705.4,5384.0,5002.8,4826.7,125.2,50.9,31.6,19.3,381.2,7.1,,7404.7,,7606.1,,20342,28737,264678,,7.9,5.9
,6181.2,4134.4,3358.1,2735.7,622.4,776.3,515.6,260.8,467.4,20.3,447.1,118.3,1112.7,865.8,246.9,874.0,857.9,324.8,175.7,152.5,20.9,20.6,163.5,16.0,525.5,724.6,5456.6,5042.6,4862.4,129.3,50.8,31.9,18.9,414.0,7.6,,7461.1,,7671.1,,20561,28905,265388,,5.5,3.5
,6250.7,4172.9,3395.2,2767.7,627.5,777.7,514.9,262.8,472.0,18.4,453.6,121.6,1130.9,878.5,252.4,883.5,865.6,327.5,179.6,152.5,21.6,20.5,164.0,17.8,530.0,746.8,5503.9,5124.1,4933.6,139.2,51.3,32.3,18.9,379.9,6.9,,7501.8,,7692.8,,20680,28905,266142,,3.5,1.1
,6329.3,4219.7,3438.9,2808.0,630.9,780.8,515.6,265.3,484.5,21.4,463.1,125.7,1144.3,883.6,260.7,890.4,870.7,328.6,183.2,152.7,22.0,20.6,163.7,19.6,535.4,752.2,5577.0,5195.4,4998.7,143.7,53.0,32.9,20.2,381.6,6.8,,7571.0,,7763.3,,20888,29076,267000,,5.4,3.7
,6404.3,4265.3,3479.9,2844.6,635.3,785.4,517.8,267.7,501.0,28.1,472.9,134.0,1158.4,886.5,271.9,886.0,864.6,329.8,186.5,140.7,22.5,20.5,164.7,21.4,540.3,770.0,5634.3,5261.6,5055.7,149.5,56.5,33.5,23.0,372.7,6.6,,7647.9,,7808.7,,21038,29157,267820,,4.2,2.4
,6521.0,4314.5,3524.4,2884.4,640.0,790.1,521.0,269.1,523.3,36.9,486.4,139.5,1170.8,885.7,285.1,916.0,893.2,339.1,189.6,151.3,23.0,21.4,168.8,22.8,543.2,801.7,5719.2,5337.7,5130.6,151.7,55.5,34.0,21.4,381.5,6.7,,7725.1,,7882.6,,21302,29359,268487,,6.2,3.8
,6649.8,4387.5,3590.0,2944.3,645.6,797.6,524.4,273.2,547.5,44.2,503.3,141.6,1188.5,891.0,297.4,936.4,912.9,341.4,192.9,165.8,22.7,21.7,168.4,23.5,551.6,839.6,5810.3,5432.5,5220.5,154.7,57.3,34.6,22.7,377.8,6.5,,7822.4,,7954.9,,21579,29545,269251,,6.5,3.7
,6725.9,4451.2,3647.2,2996.5,650.7,804.0,527.3,276.7,547.5,33.5,514.0,143.7,1210.7,902.4,308.3,931.8,908.5,342.6,196.5,158.8,21.6,21.3,167.7,23.2,559.0,843.5,5882.3,5492.0,5274.5,159.3,58.2,35.2,22.9,390.4,6.6,,7899.0,,8019.3,,21776,29687,270128,,5.1,3.3
,6817.5,4514.5,3704.3,3048.2,656.0,810.2,530.0,280.3,556.8,34.7,522.1,145.3,1234.7,916.8,317.9,932.6,910.7,344.9,200.4,156.9,21.7,21.4,165.4,21.9,566.5,863.5,5954.0,5574.5,5352.8,162.4,59.3,35.8,23.5,379.4,6.4,,7968.5,,8062.0,,21971,29750,270991,,5.0,2.1
,6939.4,4592.4,3776.4,3114.1,662.3,816.0,532.7,283.3,575.6,37.8,537.8,144.2,1251.4,925.1,326.2,950.2,930.5,353.9,204.4,161.4,21.0,22.4,167.4,19.7,574.4,902.1,6037.2,5658.1,5433.1,162.7,62.3,37.2,25.1,379.1,6.3,,8074.0,,8138.8,,22220,29954,271709,,5.7,3.9
,7022.3,4660.0,3835.6,3167.7,668.0,824.3,537.4,286.9,575.1,28.1,547.0,144.6,1274.5,940.2,334.2,950.0,931.3,355.9,207.1,159.4,20.4,22.2,166.4,18.7,581.9,916.2,6106.0,5702.5,5471.3,168.0,63.1,38.0,25.1,403.6,6.6,,8165.6,,8211.0,,22409,30133,272487,,4.6,3.6
,7135.3,4738.9,3903.0,3228.9,674.1,835.9,544.7,291.2,588.5,32.4,556.1,147.4,1294.9,952.9,341.9,956.2,937.2,357.5,208.3,163.7,19.6,22.2,165.9,19.0,590.5,941.1,6194.2,5815.8,5579.2,172.5,64.2,38.6,25.6,378.4,6.1,,8287.4,,8307.6,,22657,30387,273391,,5.9,4.8
,7273.0,4844.0,3992.4,3309.2,683.2,851.6,554.7,297.0,596.6,31.2,565.4,152.1,1319.4,970.1,349.3,963.1,942.7,359.1,207.9,168.0,19.4,22.4,165.8,20.4,602.2,967.8,6305.2,5905.2,5663.6,175.8,65.8,39.0,26.8,400.0,6.3,,8436.3,,8429.9,,22991,30739,274246,,7.4,6.0
,7434.6,4942.0,4074.9,3385.1,689.8,867.1,566.7,300.4,617.4,27.9,589.5,156.8,1353.9,998.4,355.6,974.7,951.8,366.6,206.4,167.2,19.4,23.3,168.8,22.8,610.3,996.1,6438.4,5961.5,5721.3,174.2,65.9,39.1,26.9,476.9,7.4,,8636.1,,8607.4,,23417,31305,274950,,8.7,8.7
,7561.1,5028.3,4145.5,3448.1,697.4,882.8,578.0,304.9,629.6,26.4,603.2,162.6,1379.1,1020.9,358.2,981.1,956.0,368.2,205.3,170.0,19.3,23.2,169.9,25.1,619.7,1022.4,6538.7,6082.6,5832.6,182.0,68.1,39.3,28.7,456.1,7.0,,8780.8,,8725.8,,23716,31649,275703,,6.4,5.6
,7668.1,5114.9,4217.4,3511.8,705.6,897.4,587.9,309.5,645.0,26.6,618.4,168.0,1385.2,1028.4,356.8,984.5,957.4,370.7,205.0,168.1,20.3,23.2,170.1,27.1,629.5,1043.2,6624.9,6181.1,5926.8,183.9,70.4,40.0,30.4,443.8,6.7,,8891.8,,8813.7,,23954,31868,276564,,5.4,4.1
,7762.9,5199.4,4288.7,3576.2,712.4,910.7,596.6,314.1,668.7,33.0,635.7,173.4,1365.3,1014.1,351.2,995.4,966.4,371.2,205.5,175.4,19.8,23.4,171.2,28.9,639.2,1068.0,6694.9,6285.6,6028.2,183.6,73.7,41.1,32.7,409.3,6.1,,8979.8,,8883.4,,24134,32024,277400,,4.3,3.2
,7859.1,5287.0,4364.6,3646.5,718.1,922.3,604.1,318.2,681.9,33.6,648.3,176.1,1349.7,1006.5,343.2,1014.6,983.4,377.0,206.6,181.1,20.8,24.2,173.7,31.2,650.2,1077.9,6781.2,6358.1,6102.0,182.5,73.6,42.3,31.3,423.1,6.2,,9064.4,,8980.4,,24384,32292,278103,,5.3,4.4
,7922.9,5343.9,4409.3,3682.3,727.0,934.6,613.9,320.7,690.1,28.1,661.9,179.6,1347.3,1006.8,340.5,1017.8,985.0,378.9,207.9,179.1,20.9,24.1,174.0,32.8,655.7,1095.2,6827.8,6496.9,6230.6,189.9,76.4,43.5,32.9,330.8,4.8,,9092.9,,8991.1,,24484,32242,278864,,2.8,0.5
,8038.3,5424.0,4473.7,3735.1,738.6,950.3,626.3,324.0,699.8,26.2,673.6,179.4,1367.2,1022.0,345.2,1030.9,996.1,380.8,209.4,186.7,20.3,24.1,174.8,34.8,663.0,1120.6,6917.7,6604.6,6335.3,192.9,76.5,44.7,31.8,313.1,4.5,,9177.2,,9059.7,,24728,32385,279751,,5.4,3.1
,8206.9,5555.9,4584.1,3832.7,751.4,971.8,641.4,330.5,713.9,24.5,689.4,178.9,1393.0,1035.7,357.4,1041.4,1004.3,382.7,211.0,191.3,20.0,24.1,175.1,37.1,676.2,1154.0,7052.9,6743.8,6467.0,197.8,78.9,45.8,33.1,309.1,4.4,,9327.5,,9181.0,,25136,32720,280592,,8.0,5.5
,8443.3,5749.2,4751.5,3986.3,765.2,997.7,657.1,340.6,720.9,27.1,693.9,179.8,1432.6,1058.2,374.4,1056.7,1016.9,392.5,213.0,190.2,20.5,25.1,175.6,39.8,696.0,1208.8,7234.6,6902.9,6618.2,205.6,79.1,46.9,32.2,331.7,4.6,,9537.8,,9341.5,,25718,33208,281304,,10.7,7.2
,8586.0,5791.7,4779.1,4000.5,778.6,1012.7,671.3,341.4,751.3,33.4,717.9,180.2,1477.5,1091.8,385.7,1083.7,1042.3,404.7,216.1,198.3,20.0,24.9,178.3,41.5,698.4,1230.2,7355.9,7004.5,6711.9,210.4,82.1,48.1,34.0,351.4,4.8,,9641.2,,9453.0,,26084,33521,282002,,6.9,4.9
